Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:14:10,0.09,0.093,0.092,0.092,0.09,0.092,0.091,0.092,0.087,0.089,0.087,0.087,0.095,0.141,0.771,0.093,0.779,0.147,0.093,0.093,0.088,0.089,0.088,0.085,0.094,0.948,0.093,0.746,0.093,0.493,0.135,0.091,0.088,0.089,0.088,0.087,0.096,0.093,1.112,0.147,0.697,0.139,0.644,0.092,0.09,0.089,0.09,0.088,0.094,0.093,0.173,0.094,0.152,0.091,0.146,0.095,0.089,0.091,0.09,0.088,0.094,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.088,0.089,0.086,0.089,0.086,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.088,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.093,0.087,0.085
0:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.141,0.775,0.093,0.77,0.144,0.093,0.093,0.088,0.089,0.088,0.085,0.094,0.915,0.093,0.71,0.093,0.488,0.138,0.091,0.088,0.089,0.088,0.087,0.095,0.093,1.103,0.145,0.724,0.141,0.654,0.092,0.09,0.089,0.09,0.088,0.093,0.093,0.148,0.094,0.147,0.091,0.15,0.095,0.089,0.091,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.086,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.088,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
0:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.139,0.661,0.093,0.769,0.141,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.906,0.093,0.704,0.093,0.499,0.137,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.071,0.143,0.702,0.137,0.637,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.143,0.094,0.143,0.091,0.146,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
0:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.137,0.646,0.093,0.718,0.143,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.885,0.093,0.677,0.093,0.492,0.136,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.067,0.143,0.695,0.149,0.671,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.139,0.094,0.14,0.09,0.144,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.088,0.085,0.087,0.089,0.086,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
1:14:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.137,0.646,0.093,0.726,0.143,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.883,0.093,0.66,0.093,0.568,0.14,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.046,0.144,0.662,0.134,0.683,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.139,0.094,0.142,0.091,0.145,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
1:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.136,0.633,0.093,0.727,0.146,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.901,0.093,0.643,0.093,0.513,0.141,0.091,0.088,0.088,0.088,0.087,0.095,0.092,1.041,0.142,0.663,0.135,0.685,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.139,0.094,0.141,0.091,0.144,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
1:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.136,0.613,0.093,0.69,0.144,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.865,0.093,0.723,0.093,0.507,0.141,0.091,0.088,0.088,0.088,0.087,0.095,0.092,1.052,0.148,0.646,0.135,0.689,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.138,0.094,0.141,0.091,0.142,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.086,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.088,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
1:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.136,0.63,0.093,0.679,0.146,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.855,0.093,0.639,0.093,0.484,0.14,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.063,0.141,0.668,0.134,0.694,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.138,0.094,0.141,0.09,0.142,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.088,0.085,0.087,0.089,0.086,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
2:14:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.145,0.638,0.093,0.65,0.144,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.857,0.093,0.637,0.093,0.522,0.14,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.074,0.142,0.668,0.135,0.656,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.141,0.094,0.141,0.09,0.143,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.088,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
2:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.136,0.624,0.093,0.662,0.143,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.864,0.093,0.633,0.093,0.494,0.14,0.091,0.088,0.088,0.088,0.087,0.095,0.092,1.064,0.14,0.647,0.135,0.686,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.138,0.094,0.142,0.091,0.143,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
2:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.138,0.631,0.093,0.676,0.146,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.858,0.093,0.639,0.093,0.496,0.142,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.064,0.142,0.668,0.149,0.679,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.138,0.094,0.16,0.091,0.145,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.087,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
2:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.138,0.65,0.093,0.662,0.149,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.877,0.093,0.66,0.093,0.476,0.143,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.072,0.142,0.676,0.137,0.684,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.145,0.094,0.161,0.091,0.145,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.089,0.085,0.087,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
3:14:10,0.089,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.141,0.662,0.093,0.676,0.147,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.881,0.093,0.675,0.093,0.481,0.142,0.091,0.087,0.088,0.088,0.087,0.095,0.093,1.067,0.142,0.658,0.139,0.691,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.145,0.094,0.176,0.09,0.144,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
3:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.143,0.664,0.093,0.685,0.147,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.887,0.093,0.699,0.093,0.482,0.142,0.091,0.087,0.088,0.088,0.087,0.095,0.093,1.075,0.144,0.657,0.14,0.699,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.143,0.094,0.177,0.091,0.147,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.088,0.085,0.087,0.089,0.087,0.086,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
3:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.164,0.686,0.093,0.689,0.149,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.897,0.093,0.67,0.093,0.465,0.143,0.091,0.087,0.088,0.088,0.087,0.095,0.093,1.078,0.147,0.676,0.144,0.703,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.169,0.094,0.181,0.091,0.149,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
3:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.149,0.708,0.093,0.7,0.152,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.908,0.094,0.683,0.093,0.479,0.15,0.091,0.088,0.088,0.088,0.087,0.095,0.093,1.094,0.15,0.678,0.148,0.692,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.217,0.094,0.169,0.091,0.154,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
4:14:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.155,0.713,0.093,0.697,0.157,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.919,0.094,0.696,0.093,0.478,0.152,0.091,0.088,0.088,0.088,0.087,0.095,0.093,1.088,0.156,0.676,0.156,0.682,0.092,0.09,0.089,0.089,0.088,0.093,0.094,0.159,0.094,0.176,0.091,0.162,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.087,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
4:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.166,0.716,0.093,0.717,0.163,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.9,0.094,0.726,0.093,0.481,0.16,0.091,0.087,0.088,0.088,0.087,0.095,0.093,1.102,0.166,0.695,0.166,0.705,0.092,0.09,0.089,0.089,0.088,0.093,0.094,0.164,0.094,0.182,0.091,0.168,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
4:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.174,0.73,0.093,0.717,0.171,0.094,0.093,0.088,0.089,0.088,0.085,0.093,0.907,0.094,0.703,0.093,0.495,0.169,0.091,0.088,0.088,0.088,0.087,0.095,0.093,1.097,0.176,0.697,0.176,0.711,0.092,0.09,0.089,0.089,0.088,0.093,0.094,0.298,0.095,0.189,0.091,0.174,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
4:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.181,0.734,0.094,0.721,0.182,0.094,0.093,0.088,0.089,0.088,0.085,0.093,0.916,0.095,0.702,0.094,0.485,0.181,0.091,0.087,0.088,0.088,0.087,0.095,0.094,1.104,0.188,0.72,0.184,0.699,0.092,0.09,0.089,0.089,0.088,0.093,0.094,0.185,0.095,0.198,0.091,0.184,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
5:14:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.199,0.745,0.094,0.734,0.2,0.094,0.093,0.088,0.089,0.088,0.085,0.093,0.908,0.095,0.711,0.094,0.495,0.199,0.091,0.088,0.088,0.088,0.087,0.095,0.095,1.112,0.191,0.719,0.195,0.717,0.092,0.09,0.089,0.089,0.088,0.093,0.095,0.203,0.095,0.214,0.092,0.201,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
5:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.225,0.74,0.095,0.741,0.226,0.094,0.093,0.088,0.089,0.088,0.085,0.093,0.91,0.096,0.714,0.095,0.496,0.226,0.091,0.087,0.088,0.088,0.087,0.095,0.095,1.107,0.212,0.709,0.221,0.72,0.092,0.09,0.089,0.089,0.088,0.093,0.095,0.226,0.096,0.239,0.092,0.228,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
5:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.26,0.754,0.096,0.746,0.261,0.095,0.093,0.088,0.089,0.088,0.085,0.093,0.922,0.097,0.716,0.096,0.49,0.265,0.091,0.088,0.088,0.088,0.087,0.095,0.096,1.12,0.245,0.726,0.252,0.718,0.092,0.09,0.089,0.089,0.088,0.093,0.095,0.272,0.097,0.274,0.093,0.265,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.088,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
5:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.303,0.751,0.097,0.761,0.305,0.095,0.093,0.088,0.089,0.088,0.085,0.093,0.925,0.098,0.723,0.097,0.493,0.314,0.091,0.088,0.088,0.088,0.087,0.095,0.098,1.119,0.285,0.74,0.294,0.724,0.092,0.09,0.089,0.089,0.088,0.093,0.096,0.323,0.098,0.322,0.093,0.308,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.086,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
6:14:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.352,0.751,0.098,0.765,0.361,0.096,0.093,0.088,0.089,0.088,0.085,0.093,0.919,0.1,0.72,0.099,0.503,0.366,0.091,0.087,0.088,0.088,0.087,0.095,0.1,1.118,0.328,0.727,0.355,0.723,0.092,0.09,0.089,0.089,0.088,0.093,0.097,0.368,0.099,0.37,0.094,0.352,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
6:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.4,0.758,0.1,0.77,0.416,0.097,0.093,0.088,0.089,0.088,0.085,0.093,0.926,0.102,0.722,0.101,0.5,0.416,0.091,0.088,0.088,0.088,0.087,0.095,0.102,1.12,0.373,0.737,0.395,0.742,0.092,0.09,0.089,0.089,0.088,0.093,0.098,0.42,0.101,0.413,0.096,0.402,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
6:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.446,0.761,0.103,0.777,0.467,0.098,0.093,0.088,0.089,0.088,0.085,0.093,0.938,0.105,0.73,0.103,0.508,0.465,0.091,0.087,0.088,0.088,0.087,0.095,0.105,1.127,0.417,0.744,0.452,0.758,0.092,0.09,0.089,0.089,0.088,0.093,0.1,0.469,0.103,0.465,0.097,0.45,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.087,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
6:59:10,0.089,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.491,0.769,0.106,0.789,0.522,0.1,0.093,0.088,0.089,0.088,0.085,0.093,0.947,0.108,0.738,0.107,0.518,0.512,0.091,0.087,0.088,0.088,0.087,0.095,0.109,1.129,0.464,0.765,0.503,0.749,0.092,0.09,0.089,0.089,0.088,0.093,0.102,0.5,0.106,0.506,0.1,0.488,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.087,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
7:14:10,0.089,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.533,0.771,0.111,0.791,0.568,0.102,0.093,0.088,0.089,0.088,0.085,0.093,0.952,0.113,0.739,0.111,0.521,0.556,0.091,0.087,0.088,0.088,0.087,0.095,0.114,1.129,0.506,0.762,0.551,0.745,0.092,0.09,0.089,0.089,0.088,0.093,0.105,0.567,0.11,0.549,0.102,0.53,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.088,0.085,0.087,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
7:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.572,0.779,0.116,0.802,0.605,0.105,0.093,0.088,0.089,0.088,0.085,0.093,0.958,0.119,0.751,0.117,0.529,0.597,0.091,0.087,0.088,0.088,0.087,0.095,0.12,1.141,0.548,0.77,0.582,0.751,0.092,0.09,0.089,0.089,0.088,0.093,0.108,0.628,0.115,0.589,0.106,0.57,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.088,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
